,city,state,20th_x,40th_x,Median_x,60th_x,80th_x,95th_x,Unnamed: 0.1,20th_y,40th_y,Median_y,60th_y,80th_y,95th_y,20th % of Median,40th % of Median,60th % of Median,80th % of Median,95th % of Median,murders,murdersper100k,rapes,rapesper100k,robberies,robberiesper100k,assaults,assaultsper100k,burglaries,burglariesper100k,thefts,theftsper100k,autothefts,autotheftsper100k,arson,arsonper100k,crime index,income inequality
0,Cullman,Alabama,17305.0,31810.0,39297.0,47828.0,78207.0,139702.0,7,15091,33146,40129,49040,80061,131531,0.3760621994069127,0.8259861945226644,1.2220588601759326,1.9950908320665848,3.27770440329936,1.0,6.4,8.0,51.2,1.0,6.4,12.0,76.9,70.0,448.3,505.0,3234.5,39.0,249.8,,,251.8,122397.0
1,Madison,Alabama,24061.0,46450.0,60150.0,76350.0,121085.0,210362.0,24,40628,73617,95423,114173,161961,239435,0.4257673726460078,0.7714806702786541,1.1964935078545005,1.6972952013665468,2.5091958961675904,2.0,4.1,22.0,45.1,24.0,49.2,129.0,264.5,143.0,293.2,723.0,1482.3,65.0,133.3,,,202.4,186301.0
2,Mobile,Alabama,17111.0,33781.0,44263.0,55527.0,89956.0,157215.0,26,14981,29156,38759,49862,82995,154654,0.3865166799969039,0.7522381898397792,1.2864624990324829,2.1413091153022523,3.9901442245671968,50.0,20.1,142.0,57.2,440.0,177.1,1207.0,485.8,3023.0,1216.8,9267.0,3730.2,1259.0,506.8,57.0,22.9,511.2,140104.0
3,Montgomery,Alabama,17284.0,35129.0,45358.0,57619.0,94332.0,172950.0,27,16615,33458,43440,54827,90248,164783,0.3824815837937385,0.7702117863720074,1.2621316758747698,2.0775322283609583,3.793347145488029,38.0,19.1,52.0,26.1,346.0,173.8,841.0,422.4,2129.0,1069.3,5827.0,2926.7,844.0,423.9,,,421.5,155666.0
4,Talladega,Alabama,15719.0,29386.0,37923.0,47230.0,76967.0,134401.0,38,13108,22333,29074,36143,57608,123938,0.4508495563046021,0.7681433583270276,1.2431381990782142,1.981426704271858,4.262846529545298,1.0,6.5,5.0,32.6,21.0,136.8,109.0,709.8,217.0,1413.1,560.0,3646.8,54.0,351.7,,,495.0,118682.0
5,Tuscaloosa,Alabama,18828.0,37232.0,48022.0,60053.0,94862.0,166466.0,41,14793,30055,40542,51995,86876,184545,0.3648808642888856,0.7413299787874303,1.2824971634354496,2.142864190222485,4.5519461299393225,9.0,8.9,54.0,53.4,168.0,166.1,243.0,240.3,814.0,805.0,3161.0,3125.9,199.0,196.8,,,355.5,147638.0
6,Yuma,Arizona,19196.0,32940.0,41467.0,51171.0,80597.0,135979.0,60,19437,35081,44216,54660,83883,147374,0.4395920028948797,0.7934005789759363,1.2362040890175503,1.897118690066944,3.333046860864845,5.0,5.2,49.0,51.3,90.0,94.2,347.0,363.3,502.0,525.5,1874.0,1961.9,219.0,229.3,34.0,35.6,286.0,116783.0
7,Benton,Arkansas,27410.0,47507.0,59016.0,71533.0,112593.0,214321.0,63,26173,44092,55128,70978,106380,174824,0.4747678130895371,0.7998113481352489,1.287512697721666,1.9296909011754464,3.171237846466405,0.0,0.0,16.0,43.6,20.0,54.5,108.0,294.3,228.0,621.2,1079.0,2939.9,123.0,335.1,2.0,5.4,298.0,186911.0
8,Conway,Arkansas,14888.0,29006.0,38266.0,50223.0,81622.0,144250.0,70,19042,35688,47190,60417,93596,165089,0.4035176944267853,0.7562619198982835,1.2802924348378897,1.9833863106590381,3.4983894892985803,1.0,1.5,41.0,61.8,63.0,95.0,210.0,316.7,331.0,499.3,1835.0,2767.8,148.0,223.2,8.0,12.1,307.9,129362.0
9,Marion,Arkansas,15737.0,28103.0,33726.0,41828.0,61833.0,112915.0,80,31557,54802,67178,77325,109647,171098,0.4697520021435589,0.8157730209294709,1.1510464735478878,1.6321861323647622,2.5469350084849207,1.0,8.1,7.0,56.7,19.0,153.8,106.0,857.9,81.0,655.6,309.0,2500.8,23.0,186.1,1.0,8.1,440.0,97178.0
10,Searcy,Arkansas,14439.0,29234.0,35542.0,42114.0,72393.0,122013.0,88,14727,30111,39313,49073,82755,154754,0.3746089079948109,0.7659298450894106,1.2482639330501362,2.105028870856968,3.9364586777910615,1.0,4.3,12.0,52.1,11.0,47.8,55.0,238.8,440.0,1910.5,735.0,3191.4,15.0,65.1,3.0,13.0,379.1,107574.0
11,Fresno,California,18645.0,35076.0,45963.0,58727.0,96858.0,175682.0,101,16609,31652,41842,53777,89356,168023,0.3969456526934659,0.7564647961378519,1.2852397112948712,2.1355575737297454,4.015654127431767,56.0,10.6,174.0,33.1,958.0,182.0,1786.0,339.3,3649.0,693.2,13782.0,2618.3,2789.0,529.9,217.0,41.2,365.8,157037.0
12,Orange,California,32202.0,61353.0,78145.0,97221.0,154161.0,250001.0,111,34950,62802,79192,94617,147380,250001,0.44133245782402253,0.7930346499646429,1.1947797757349228,1.8610465703606425,3.1568971613294265,4.0,2.8,12.0,8.5,64.0,45.3,138.0,97.8,489.0,346.5,1754.0,1242.8,341.0,241.6,19.0,13.5,138.9,217799.0
13,Riverside,California,24572.0,45691.0,57972.0,72172.0,112688.0,194454.0,116,24205,46769,58979,72907,110644,191524,0.4104003119754489,0.7929771613625188,1.236151850658709,1.8759897590667864,3.2473253191814035,12.0,3.7,166.0,50.6,544.0,165.8,947.0,288.7,1673.0,510.0,6629.0,2020.9,1730.0,527.4,73.0,22.3,314.0,169882.0
14,Sacramento,California,23265.0,45228.0,57509.0,72126.0,113734.0,197963.0,118,20085,40406,52071,65805,104727,185908,0.3857233392867431,0.7759789518157901,1.2637552572449156,2.0112346603675757,3.570279042077164,39.0,7.8,99.0,19.8,1100.0,220.0,2140.0,428.0,2888.0,577.6,9077.0,1815.4,2718.0,543.6,209.0,41.8,339.6,174698.0
15,Boulder,Colorado,28368.0,55378.0,72282.0,91056.0,148663.0,250001.0,127,19371,45530,60569,80375,141093,250001,0.3198170681371659,0.7517046674041176,1.3269989598639569,2.329458964156582,4.127540491010253,0.0,0.0,52.0,47.6,30.0,27.5,176.0,161.2,559.0,512.0,2497.0,2286.9,219.0,200.6,19.0,17.4,221.9,221633.0
16,Broomfield,Colorado,37950.0,68619.0,83334.0,99072.0,147913.0,250001.0,129,37950,68619,83334,99072,147913,250001,0.4553963568291454,0.8234214126286991,1.1888544891640866,1.7749418004655964,2.9999880000959998,1.0,1.5,23.0,33.7,7.0,10.3,53.0,77.8,197.0,289.0,1400.0,2054.1,193.0,283.2,9.0,13.2,173.6,212051.0
17,Denver,Colorado,22775.0,44387.0,56258.0,72013.0,118994.0,233118.0,131,22775,44387,56258,72013,118994,233118,0.404831312879946,0.7889900103096449,1.2800490596892886,2.115148067830353,4.1437306694159055,59.0,8.3,699.0,98.9,1232.0,174.4,2784.0,394.0,4331.0,612.9,16021.0,2267.3,5560.0,786.8,129.0,18.3,423.5,210343.0
18,Montrose,Colorado,19758.0,34999.0,43890.0,54594.0,83122.0,129362.0,144,18543,32697,41547,52497,81596,127547,0.4463138132717164,0.7869882301971262,1.26355693551881,1.9639444484559656,3.0699448817002435,1.0,5.2,7.0,36.2,4.0,20.7,32.0,165.4,132.0,682.3,735.0,3799.2,79.0,408.4,2.0,10.3,311.0,109604.0
19,Pueblo,Colorado,17578.0,33753.0,42000.0,53274.0,84700.0,140939.0,146,15074,28140,35770,44947,73370,129839,0.4214145932345541,0.786692759295499,1.2565557729941292,2.051160190103438,3.6298294660329886,10.0,9.0,199.0,179.5,219.0,197.5,739.0,666.5,1376.0,1241.1,4234.0,3818.8,1228.0,1107.6,50.0,45.1,682.4,123361.0
20,Decatur,Georgia,10796.0,23970.0,33514.0,44259.0,74797.0,136257.0,186,22504,60054,81598,113129,178056,250001,0.2757910733106204,0.7359739209294346,1.3864187847741367,2.182112306674183,3.063812838549965,0.0,0.0,2.0,8.6,27.0,115.5,11.0,47.1,63.0,269.5,441.0,1886.4,27.0,115.5,1.0,4.3,154.5,125461.0
21,Gooding,Idaho,20698.0,33455.0,40704.0,51750.0,78038.0,135803.0,212,13667,22344,27055,35186,61230,114582,0.5051561633709111,0.8258732212160413,1.3005359452966179,2.263167621511736,4.235150619109222,0.0,0.0,1.0,28.7,1.0,28.7,12.0,344.7,13.0,373.5,13.0,373.5,3.0,86.2,0.0,0.0,148.5,115105.0
22,Jerome,Idaho,20942.0,35632.0,44447.0,52642.0,76564.0,126703.0,216,19321,29168,38196,47361,63053,104926,0.5058383076761964,0.7636401717457325,1.2399465912661012,1.6507749502565714,2.7470415750340353,0.0,0.0,8.0,70.3,4.0,35.1,15.0,131.8,60.0,527.2,172.0,1511.4,18.0,158.2,2.0,17.6,203.2,105761.0
23,Payette,Idaho,18978.0,35596.0,45670.0,53745.0,86687.0,139577.0,225,17860,34873,45047,53961,76642,119563,0.3964747929939841,0.7741470020201123,1.197882211912003,1.7013785601704885,2.654183408440073,0.0,0.0,2.0,27.0,0.0,0.0,16.0,216.1,24.0,324.1,108.0,1458.5,12.0,162.1,4.0,54.0,158.8,120599.0
24,Champaign,Illinois,17013.0,36778.0,48899.0,61787.0,100725.0,186288.0,240,14838,34533,45198,58389,98963,205009,0.32828886233904153,0.7640382317801673,1.291849196867118,2.1895437851232358,4.535798044161246,5.0,5.7,83.0,94.8,109.0,124.5,437.0,499.2,446.0,509.5,2054.0,2346.3,123.0,140.5,10.0,11.4,365.2,169275.0
25,DeKalb,Illinois,22037.0,42274.0,56076.0,68221.0,105657.0,166432.0,242,13357,31092,38647,52328,89153,151752,0.3456154423370507,0.8045126400496805,1.3539990167412737,2.3068543483323416,3.926617848733408,1.0,2.3,40.0,92.9,30.0,69.7,118.0,274.1,156.0,362.4,1130.0,2625.3,37.0,86.0,7.0,16.3,292.0,144395.0
26,Peoria,Illinois,21394.0,40732.0,51632.0,65138.0,102067.0,181543.0,250,17541,35250,46547,60109,98043,192867,0.3768449094463661,0.7572990740541818,1.2913614196403636,2.1063226416310394,4.143489376329302,12.0,10.5,65.0,56.9,281.0,246.2,509.0,445.9,1119.0,980.2,3357.0,2940.7,334.0,292.6,44.0,38.5,439.2,160149.0
27,Elkhart,Indiana,22520.0,41037.0,49692.0,59712.0,88102.0,147791.0,261,15842,28376,35555,43176,66571,115477,0.4455632119251863,0.7980874701167205,1.2143439741245956,1.8723386302910985,3.247841372521445,5.0,9.6,,,71.0,135.7,471.0,900.1,334.0,638.3,1314.0,2511.0,189.0,361.2,,,471.9,125271.0
28,Franklin,Indiana,22942.0,41381.0,52128.0,65078.0,94483.0,150823.0,264,25306,44442,53207,63737,99565,152063,0.4756141109252542,0.8352660364237788,1.1979062905256828,1.8712763358204747,2.8579510214821364,0.0,0.0,8.0,31.9,7.0,27.9,112.0,446.9,76.0,303.3,755.0,3012.8,20.0,79.8,0.0,0.0,271.4,127881.0
29,Lawrence,Indiana,21097.0,37097.0,46044.0,57355.0,86496.0,135859.0,274,21603,39482,48650,61534,98887,158200,0.44404933196300106,0.811551901336074,1.2648304213771842,2.0326207605344297,3.25179856115108,3.0,7.3,3.0,7.3,114.0,276.5,20.0,48.5,222.0,538.4,674.0,1634.7,167.0,405.0,0.0,0.0,248.5,114762.0
30,Marion,Indiana,18209.0,34571.0,43369.0,54326.0,88300.0,158193.0,276,15780,26006,31588,37461,61747,104616,0.4995567937191338,0.8232873243003672,1.1859250348233503,1.9547613017601624,3.3118905913638086,0.0,0.0,10.0,35.2,32.0,112.7,55.0,193.8,152.0,535.5,821.0,2892.4,84.0,295.9,6.0,21.1,277.6,139984.0
31,Boone,Iowa,24658.0,43837.0,54513.0,65959.0,97761.0,154906.0,291,23201,36889,48135,58032,80538,145680,0.4819985457567258,0.7663654305598837,1.2056092240573388,1.6731692115923964,3.0264880024929885,0.0,0.0,1.0,7.9,1.0,7.9,62.0,491.8,43.0,341.1,104.0,824.9,14.0,111.0,0.0,0.0,172.8,130248.0
32,Carroll,Iowa,22212.0,39984.0,53785.0,66558.0,94252.0,159097.0,293,20298,32993,45170,61932,89709,155125,0.4493690502545938,0.7304184193048483,1.3710870046491035,1.9860305512508305,3.434248394952402,0.0,0.0,0.0,0.0,1.0,10.1,1.0,10.1,53.0,534.3,103.0,1038.3,12.0,121.0,2.0,20.2,93.6,136885.0
33,Clinton,Iowa,20925.0,39340.0,50067.0,62325.0,96640.0,150635.0,294,18604,33991,42497,55442,87984,140723,0.4377720780290373,0.7998446949196414,1.304609737157917,2.070357907617008,3.3113631550462386,0.0,0.0,32.0,125.3,21.0,82.2,242.0,947.8,277.0,1084.9,874.0,3423.2,104.0,407.3,11.0,43.1,560.0,129710.0
34,Dubuque,Iowa,24631.0,44824.0,56154.0,68373.0,99994.0,166568.0,301,20885,37451,48021,58073,87630,136675,0.4349138918389871,0.7798879656816808,1.2093250869411298,1.824826638345724,2.846150642427272,2.0,3.4,40.0,68.2,16.0,27.3,108.0,184.1,333.0,567.5,1210.0,2062.2,63.0,107.4,15.0,25.6,237.2,141937.0
35,Keokuk,Iowa,20717.0,35732.0,45227.0,56247.0,86358.0,137383.0,306,14686,27197,34847,43288,70115,118028,0.4214423049329928,0.7804689069360347,1.2422303211180303,2.012081384337246,3.3870347519155164,1.0,9.6,5.0,48.2,3.0,28.9,81.0,780.6,202.0,1946.8,400.0,3855.1,54.0,520.4,2.0,19.3,554.7,116666.0
36,Marion,Iowa,25942.0,47174.0,57412.0,69311.0,98085.0,150891.0,307,28698,53011,67308,81659,111960,181785,0.4263683366018898,0.7875883995958876,1.2132138824508232,1.6633981101800677,2.7007933678017477,1.0,2.6,11.0,28.2,13.0,33.3,43.0,110.1,141.0,361.1,446.0,1142.1,36.0,92.2,10.0,25.6,138.0,124949.0
37,Muscatine,Iowa,25560.0,44502.0,55971.0,67764.0,99118.0,158179.0,309,21582,40911,50059,61822,91243,146417,0.4311312651071735,0.8172556383467509,1.23498272038994,1.8227092031402945,2.9248886314149303,0.0,0.0,18.0,75.2,6.0,25.1,170.0,710.1,84.0,350.9,358.0,1495.4,37.0,154.6,13.0,54.3,306.4,132619.0
38,Atchison,Kansas,18846.0,35254.0,46103.0,55003.0,83771.0,132611.0,323,16748,29572,41696,50228,80808,134309,0.40166922486569456,0.7092287029930928,1.2046239447429008,1.938027628549501,3.221148311588641,1.0,9.4,4.0,37.6,1.0,9.4,31.0,291.7,47.0,442.2,294.0,2766.3,27.0,254.0,3.0,28.2,272.0,113765.0
39,Leavenworth,Kansas,28826.0,53653.0,66046.0,80468.0,116419.0,188201.0,336,20638,44179,55702,69795,104404,166152,0.3705073426447884,0.7931313058777064,1.2530070733546372,1.8743312627912825,2.9828731463861264,3.0,8.3,25.0,68.9,40.0,110.2,190.0,523.6,231.0,636.6,900.0,2480.4,142.0,391.4,8.0,22.0,384.5,159375.0
40,McPherson,Kansas,29194.0,46115.0,56783.0,68300.0,100531.0,158838.0,340,30241,44078,54057,66848,97726,154644,0.5594280111733909,0.8153985607784375,1.2366206041770724,1.8078324731302144,2.8607580886841673,1.0,7.6,5.0,38.0,6.0,45.6,15.0,113.9,93.0,706.2,283.0,2149.0,24.0,182.2,0.0,0.0,232.0,129644.0
41,Ottawa,Kansas,27847.0,40939.0,52241.0,64738.0,90795.0,146096.0,345,20374,37085,42404,52084,78627,132156,0.4804735402320536,0.8745637204037355,1.2282803509102915,1.8542354494858972,3.1165927742665787,0.0,0.0,9.0,73.0,5.0,40.5,33.0,267.6,29.0,235.1,293.0,2375.5,19.0,154.0,5.0,40.5,247.9,118249.0
42,Pratt,Kansas,20950.0,38758.0,48995.0,60928.0,95180.0,156080.0,348,18963,32029,42283,53875,76207,140250,0.448478111770688,0.7574911903128917,1.2741527327767659,1.802308256273207,3.3169358843979846,0.0,0.0,1.0,14.6,0.0,0.0,9.0,131.3,96.0,1400.6,207.0,3020.1,10.0,145.9,0.0,0.0,268.5,135130.0
43,Shawnee,Kansas,22573.0,41038.0,52088.0,63905.0,97437.0,160045.0,350,34218,63859,79048,96739,138552,235299,0.43287622710252,0.8078509260196336,1.2238007286711872,1.752757818034612,2.9766597510373445,0.0,0.0,18.0,27.4,14.0,21.3,85.0,129.4,114.0,173.6,839.0,1277.3,138.0,210.1,9.0,13.7,134.3,137472.0
44,Wichita,Kansas,23532.0,41177.0,57596.0,67972.0,97179.0,173819.0,353,20289,36859,46775,58223,93740,166460,0.4337573490112239,0.7880064136825227,1.2447461250668093,2.004061998931053,3.5587386424371994,35.0,8.9,382.0,97.7,599.0,153.2,2982.0,762.5,3281.0,839.0,15890.0,4063.1,2478.0,633.6,100.0,25.6,566.4,150287.0
45,Franklin,Kentucky,23754.0,41089.0,50999.0,61698.0,93470.0,155431.0,367,14352,25832,31367,41296,58682,99067,0.4575509293206236,0.8235406637549016,1.3165428635189849,1.8708196512258104,3.1583192527178245,1.0,11.3,6.0,67.5,7.0,78.8,10.0,112.6,46.0,517.8,155.0,1744.7,23.0,258.9,0.0,0.0,249.4,131677.0
46,Henderson,Kentucky,16770.0,32445.0,41630.0,53010.0,85602.0,145757.0,370,14158,27135,34793,44989,73445,124508,0.4069209323714541,0.7798982553962004,1.2930474520736928,2.1109131147069813,3.5785359123961715,2.0,6.9,14.0,48.5,23.0,79.7,30.0,104.0,125.0,433.3,479.0,1660.5,69.0,239.2,0.0,0.0,213.3,128987.0
47,Lafayette,Louisiana,20355.0,40981.0,52435.0,68100.0,112353.0,210295.0,402,17999,36911,47940,61475,105748,216810,0.3754484772632457,0.7699415936587399,1.2823320817688777,2.20584063412599,4.522528160200251,22.0,17.1,21.0,16.3,175.0,136.0,503.0,390.9,1011.0,785.6,4555.0,3539.5,297.0,230.8,26.0,20.2,381.2,189940.0
48,Natchitoches,Louisiana,10258.0,21752.0,30697.0,40838.0,76725.0,151224.0,406,5800,15181,21406,29309,62183,151284,0.2709520695132206,0.7091936840138279,1.3691955526487902,2.9049331963001026,7.067364290385872,1.0,5.5,0.0,0.0,20.0,109.4,196.0,1072.0,249.0,1361.8,908.0,4966.1,25.0,136.7,6.0,32.8,563.1,140966.0
49,Worcester,Massachusetts,25723.0,51938.0,67005.0,84144.0,130450.0,224614.0,463,15852,34004,45599,58310,97173,168673,0.3476392026140924,0.7457181078532424,1.278756113072655,2.131033575297704,3.69905041777232,5.0,2.7,42.0,22.7,324.0,175.0,974.0,526.2,866.0,467.8,2784.0,1504.0,397.0,214.5,7.0,3.8,291.4,198891.0
